author_id,work_id,function
1,92,Librettist 
2,74,Author
3,63,Author
4,128,Source author
5,9,Author
5,131,Author
6,81,Author
7,22,Author
7,30,Author
7,66,Translator
7,86,Author
8,2,Author
9,65,Source author
10,3,Author
10,124,Author
11,16,Author
12,90,Author
12,125,Adapter
13,19,Author
14,17,Author
15,133,Source author
16,54,Author
17,96,Librettist 
18,56,Author
18,30,Source author
19,33,Author
20,64,Author
21,76,Author
22,37,Source author
22,7,Source author
23,4,Librettist 
23,6,Librettist 
23,87,Librettist 
23,93,Librettist 
23,95,Librettist 
23,104,Librettist 
23,105,Librettist 
23,106,Librettist 
23,113,Librettist 
23,123,Librettist 
23,130,Librettist 
23,94,Adapter
23,97,Librettist 
23,110,Adapter
24,38,Author
25,31,Author
26,77,Author
27,80,Author
28,88,Author
29,24,Author
30,61,Author
30,42,Source author
31,131,Source author
32,20,Author
32,128,Source author
33,12,Author
33,132,Author
33,64,Author
33,128,Adapter
34,44,Author
35,66,Author
35,84,Source author
35,86,Source author
35,97,Source author
35,135,Source author
35,22,Source author
36,100,Author
37,117,Author
37,14,Translator
37,33,Translator
37,59,Translator
38,38,Translator
39,14,Author
39,101,Author
40,121,Author
41,37,Author
42,68,Author
42,70,Author
42,85,Author
43,10,Author
43,29,Author
43,40,Author
43,48,Author
43,53,Author
43,58,Author
43,75,Translator
44,67,Author
44,73,Author
44,118,Author
45,52,Author
46,55,Source author
47,33,Author
49,79,Author
49,119,Author
49,31,Translator
50,112,Librettist 
51,84,Librettist 
52,59,Author
53,122,Source author
53,123,Source author
54,98,Librettist 
55,44,Translator
55,99,Translator
56,111,Source author
57,126,Author
58,122,Author
59,91,Librettist 
59,94,Librettist 
59,107,Librettist 
59,108,Librettist 
59,110,Librettist 
60,20,Translator
62,136,Author
62,12,Translator
62,132,Translator
63,49,Author
64,111,Author
65,32,Author
66,71,Author
66,102,Author
66,120,Author
67,46,Author
68,83,Author
69,56,Translator
69,103,Translator
70,26,Author
70,135,Author
71,11,Translator
71,63,Translator
72,7,Author
72,15,Author
72,18,Author
72,28,Author
72,42,Author
72,41,Author
72,51,Author
72,65,Author
72,128,Author
72,133,Author
72,55,Author
72,64,Translator
72,69,Translator
72,76,Translator
72,89,Translator
72,100,Translator
72,101,Translator
73,50,Author
74,82,Author
75,34,Author
75,89,Author
75,99,Author
75,103,Author
75,125,Author
75,127,Source author
76,69,Author
77,57,Author
77,115,Author
78,13,Author
78,80,Translator
79,1,Author
80,39,Author
80,62,Author
80,134,Author
81,8,Author
81,23,Author
82,60,Author
83,21,Author
83,27,Author
83,35,Author
83,36,Author
83,43,Author
83,47,Author
83,72,Author
83,78,Author
84,25,Author
85,127,Author
86,5,Author
87,11,Author
88,125,Translator
89,45,Author
89,114,Author
89,116,Author
90,109,Librettist 
91,20,Author
92,63,Author
93,63,Author
94,63,Author
95,75,Author
96,113,Source author
96,4,Source author
,129,
