id,lastname,firstnames,birth,death,created_at,updated_at
1,Anfossi,Pasquale,1727,1797,1/4/2015,1/4/2015
2,Benda,Georg,1722,1795,1/4/2015,1/4/2015
3,Cimarosa,Domenico,1749,1801,1/4/2015,1/4/2015
4,Guglielmi,Pietro Alessandro,1728,1804,1/4/2015,1/4/2015
5,Martín y Soler,Vicente,1754,1806,1/4/2015,1/4/2015
6,Mozart,Wolfgang Amadeus,1756,1791,1/4/2015,1/4/2015
7,Paisiello,Giovanni,1740,1816,1/4/2015,1/4/2015
8,Salieri,Antonio,1750,1825,1/4/2015,1/4/2015
9,Sarti,Giuseppe,1729,1802,1/4/2015,1/4/2015
10,Seydelmann,Franz,1748,1806,1/4/2015,1/4/2015
11,Storace,Stephen,1762,1796,1/4/2015,1/4/2015
12,Weigl,Joseph,1766,1846,1/4/2015,1/4/2015
13,Winter,Peter,1754,1825,1/4/2015,1/4/2015
