id,date,receipts,kind,zinzendorf,double,notes,created_at,updated_at
1,02/26/1789,14597,regular,0,0,"Zinzendorf at concert given by Prince Galizin.Ash Wednesday was 25 Feb, the previous day.",1/4/2015,1/9/2015
2,02/27/1789,0,concert,1,0,Pasticcio concert for for the benefit of the opera company.,1/4/2015,1/9/2015
3,02/28/1789,0,concert,1,0,,1/4/2015,1/9/2015
4,03/01/1789,38216,regular,1,0,Premiere,1/4/2015,1/8/2015
5,03/02/1789,29500,regular,0,0,,1/4/2015,1/8/2015
6,03/03/1789,12065,regular,1,0,,1/4/2015,1/8/2015
7,03/04/1789,0,concert,1,0,For the benefit of Lorenzo da Ponte,1/4/2015,1/9/2015
8,03/05/1789,30428,regular,0,0,,1/4/2015,1/8/2015
9,03/06/1789,0,concert,1,0,Benefit for Luisa Laschi,1/4/2015,1/9/2015
10,03/07/1789,0,concert,1,0,Benefit for Adriana Ferrarese,1/4/2015,1/9/2015
11,03/08/1789,36052,regular,1,0,,1/4/2015,1/8/2015
12,03/09/1789,10633,regular,1,0,Final performance,1/4/2015,1/8/2015
13,03/10/1789,7793,regular,1,0,,1/4/2015,1/8/2015
14,03/11/1789,0,concert,0,0,,1/4/2015,1/9/2015
15,03/12/1789,17021,regular,0,0,,1/4/2015,1/8/2015
16,03/13/1789,0,concert,1,0,,1/4/2015,1/9/2015
17,03/14/1789,0,concert,1,0,,1/4/2015,1/9/2015
18,03/15/1789,19359,regular,1,0,,1/4/2015,1/8/2015
19,03/16/1789,9945,regular,0,1,,1/4/2015,1/9/2015
20,03/17/1789,25901,regular,0,0,,1/4/2015,1/8/2015
21,03/18/1789,0,unknown,?,0,No known event in the Burgtheater.  Hadamowsky lists the theater as closed.,1/4/2015,1/9/2015
22,03/19/1789,34342,regular,0,0,Zinzendorf at French plays at Schoenborn's.,1/4/2015,1/9/2015
23,03/20/1789,0,unknown,?,0,Hadamowsky lists the theater as closed.,1/4/2015,1/9/2015
24,03/21/1789,0,unknown,?,0,Hadamowsky lists the theater as closed.,1/4/2015,1/9/2015
25,03/22/1789,32177,regular,0,0,,1/4/2015,1/8/2015
26,03/23/1789,10131,regular,1,0,,1/4/2015,1/8/2015
27,03/24/1789,16787,regular,0,0,,1/4/2015,1/8/2015
28,03/25/1789,0,concert,1,0,"Concert given by Johann Went, oboe.",1/4/2015,1/9/2015
29,03/26/1789,34794,regular,1,0,,1/4/2015,1/8/2015
30,03/27/1789,0,concert,?,0,"Concert given by Franz Joseph Clement, violin.",1/4/2015,1/9/2015
31,03/28/1789,0,concert,?,0,Concert given by Madame Distler (Elisabeth or Franziska?),1/4/2015,1/9/2015
32,03/29/1789,33251,regular,1,0,Premiere,1/4/2015,1/8/2015
33,03/30/1789,18961,regular,0,0,Zinzendorf at French plays at Schoenborn's,1/4/2015,1/9/2015
34,03/31/1789,7830,regular,0,1,,1/4/2015,1/8/2015
35,04/01/1789,0,concert,?,0,Concert of the Tonkünstler-Societät.,1/4/2015,1/9/2015
36,04/02/1789,27307,regular,0,0,Zinzendorf hears Torquato Tasso at Colalto's,1/4/2015,1/9/2015
37,04/03/1789,0,unknown,?,0,Hadamowsky lists theater as closed.,1/4/2015,1/9/2015
38,04/04/1789,0,unknown,?,0,Hadamowsky lists theater as closed.,1/4/2015,1/9/2015
39,04/05/1789,0,concert,?,0,Concert of the Tonkünstler-Societät,1/4/2015,1/9/2015
40,04/06/1789,0,closed,0,0,,1/4/2015,1/9/2015
41,04/07/1789,0,closed,0,0,,1/4/2015,1/9/2015
42,04/08/1789,0,closed,0,0,,1/4/2015,1/9/2015
43,04/09/1789,0,closed,0,0,,1/4/2015,1/9/2015
44,04/10/1789,0,closed,0,0,,1/4/2015,1/9/2015
45,04/11/1789,0,closed,0,0,,1/4/2015,1/9/2015
46,04/12/1789,0,closed,0,0,Easter,1/4/2015,1/9/2015
47,04/13/1789,24929,regular,0,0,Premiere,1/4/2015,1/8/2015
48,04/14/1789,15454,regular,0,0,This performance not listed in Michtner,1/4/2015,1/8/2015
49,04/15/1789,9002,regular,0,0,Final Performance,1/4/2015,1/8/2015
50,04/16/1789,0,closed,0,0,Due to illness of the Emperor,1/4/2015,1/9/2015
51,04/17/1789,0,closed,0,0,,1/4/2015,1/9/2015
52,04/18/1789,0,closed,0,0,,1/4/2015,1/9/2015
53,04/19/1789,13138,regular,0,0,,1/4/2015,1/8/2015
54,04/20/1789,6985,regular,1,0,,1/4/2015,1/8/2015
55,04/21/1789,17987,regular,0,0,,1/4/2015,1/8/2015
56,04/22/1789,4545,regular,1,0,,1/4/2015,1/8/2015
57,04/23/1789,5598,regular,1,0,,1/4/2015,1/8/2015
58,04/24/1789,5342,regular,0,0,,1/4/2015,1/8/2015
59,04/25/1789,11592,regular,0,0,,1/4/2015,1/8/2015
60,04/26/1789,5791,regular,0,0,,1/4/2015,1/8/2015
61,04/27/1789,7926,regular,0,0,,1/4/2015,1/8/2015
62,04/28/1789,25139,regular,1,0,Viennese premiere,1/4/2015,1/8/2015
63,04/29/1789,9956,regular,0,0,,1/4/2015,1/8/2015
64,04/30/1789,6897,regular,0,0,,1/4/2015,1/8/2015
65,05/01/1789,5918,regular,1,0,Ländliches Sittengemälde.  Receipts missing,1/4/2015,1/8/2015
66,05/02/1789,4268,regular,1,0,,1/4/2015,1/8/2015
67,05/03/1789,4048,regular,1,0,,1/4/2015,1/8/2015
68,05/04/1789,2400,regular,1,0,,1/4/2015,1/8/2015
69,05/05/1789,5135,regular,0,0,,1/4/2015,1/8/2015
70,05/06/1789,4515,regular,0,0,,1/4/2015,1/8/2015
71,05/07/1789,7585,regular,0,0,,1/4/2015,1/8/2015
72,05/08/1789,4609,regular,0,0,,1/4/2015,1/8/2015
73,05/09/1789,17661,regular,1,0,Premiere,1/4/2015,1/8/2015
74,05/10/1789,3130,regular,0,0,,1/4/2015,1/8/2015
75,05/11/1789,5705,regular,0,0,Final performance,1/4/2015,1/8/2015
76,05/12/1789,14905,regular,1,0,Viennese premiere,1/4/2015,1/8/2015
77,05/13/1789,9822,regular,1,0,,1/4/2015,1/8/2015
78,05/14/1789,2551,regular,1,0,,1/4/2015,1/8/2015
79,05/15/1789,4350,regular,0,1,Final performance of Der Fabrikant.,1/4/2015,1/9/2015
80,05/16/1789,15532,regular,0,0,,1/4/2015,1/8/2015
81,05/17/1789,14132,regular,1,0,,1/4/2015,1/8/2015
82,05/18/1789,10451,regular,1,0,,1/4/2015,1/8/2015
83,05/19/1789,7390,regular,0,0,,1/4/2015,1/8/2015
84,05/20/1789,2863,regular,0,0,Zinzendorf at Theater in der Leopoldstadt,1/4/2015,1/8/2015
85,05/21/1789,7348,regular,0,0,,1/4/2015,1/8/2015
86,05/22/1789,2794,regular,0,0,,1/4/2015,1/8/2015
87,05/23/1789,16892,regular,0,0,Premiere,1/4/2015,1/8/2015
88,05/24/1789,14138,regular,0,0,First performance since 28 January 1789,1/4/2015,1/8/2015
89,05/25/1789,3392,regular,0,0,Zinzendorf at fireworks display,1/4/2015,1/8/2015
90,05/26/1789,6430,regular,1,0,,1/4/2015,1/8/2015
91,05/27/1789,18676,regular,1,0,,1/4/2015,1/8/2015
92,05/28/1789,8937,regular,1,0,,1/4/2015,1/8/2015
93,05/29/1789,10311,regular,0,0,Receipts Missing,1/4/2015,1/8/2015
94,05/30/1789,2641,regular,0,0,Final performance until 1795,1/4/2015,1/8/2015
95,05/31/1789,0,closed,0,0,Pfingstsonntag (Pentecost),1/4/2015,1/9/2015
96,06/01/1789,13623,regular,0,0,,1/4/2015,1/8/2015
97,06/02/1789,11379,regular,1,0,,1/4/2015,1/8/2015
98,06/03/1789,5153,regular,0,0,,1/4/2015,1/8/2015
99,06/04/1789,4982,regular,0,0,,1/4/2015,1/8/2015
100,06/05/1789,7134,regular,0,0,Familiengemälde,1/4/2015,1/8/2015
101,06/06/1789,8532,regular,1,0,,1/4/2015,1/8/2015
102,06/07/1789,16685,regular,0,1,Premiere of Komedie in der Komedie.,1/4/2015,1/9/2015
103,06/08/1789,4362,regular,0,0,,1/4/2015,1/8/2015
104,06/09/1789,12739,regular,0,1,,1/4/2015,1/8/2015
105,06/10/1789,4778,regular,1,0,,1/4/2015,1/8/2015
106,06/11/1789,0,closed,0,0,Corpus Christi,1/4/2015,1/9/2015
107,06/12/1789,10017,regular,0,0,,1/4/2015,1/8/2015
108,06/13/1789,8849,regular,0,0,First performance since 31 July 1788,1/4/2015,1/8/2015
109,06/14/1789,12800,regular,0,0,Premiere. Zinzendorf out of town.,1/4/2015,1/8/2015
110,06/15/1789,6485,regular,1,0,,1/4/2015,1/8/2015
111,06/16/1789,9510,regular,0,0,,1/4/2015,1/8/2015
112,06/17/1789,4757,regular,1,0,,1/4/2015,1/8/2015
113,06/18/1789,8354,regular,0,0,"Zinzendorf out of town, 18 June - 7 July",1/4/2015,1/8/2015
114,06/19/1789,2620,regular,0,0,,1/4/2015,1/8/2015
115,06/20/1789,3908,regular,0,0,,1/4/2015,1/8/2015
116,06/21/1789,3720,regular,0,0,,1/4/2015,1/8/2015
117,06/22/1789,5366,regular,0,0,,1/4/2015,1/8/2015
118,06/23/1789,9646,regular,0,0,,1/4/2015,1/8/2015
119,06/24/1789,4142,regular,0,1,"Mozart's ""Thamos"" music used in Frankfurt Lanassa",1/4/2015,1/9/2015
